85
38,40
168,40
39,43
43,44
175,38
175,168
9,177
9,150
147,34
147,32
147,92
34,56
34,16
34,43
32,56
32,16
32,43
92,56
92,16
56,167
56,127
56,110
56,111
56,113
56,130
56,52
56,53
56,124
16,127
16,110
16,111
16,113
16,130
16,52
16,53
16,124
16,49
16,50
16,54
16,51
16,47
16,46
16,48
9,88
88,102
102,92
9,8
31,34
31,32
102,32
147,8
74,101
74,79
74,78
79,85
78,85
96,75
75,101
75,79
75,78
9,94
94,86
86,16
94,85
9,59
59,103
103,104
104,105
103,105
59,69
69,133
59,60
60,64
20,22
22,23
23,26
96,74
56,49
56,50
56,54
56,51
56,47
56,46
56,48
191,175
58
8,CYBB
9,AGER
16,NFKB1
20,AGER
22,PRKCB
23,MAPK8
26,EGR1,ZNF225
31,HRAS
32,MAPK14
34,MAPK1
38,TGFB2
39,TGFBR1
40,TGFBR2
43,SMAD2
44,SMAD4
46,EDN1
47,F3,TF
48,THBD
49,IL1A
50,HGF,IL6
51,TNF
52,VCAM1
53,ICAM1
54,CXCL8
56,JUN
59,JAK2
60,STAT5A
64,CCND1
69,STAT1
74,MAPK8
75,MAPK14
78,BAX
79,BCL2
85,CASP3
86,AKT3
88,DIAPH1
92,MAPK8
94,
96,NOS3
101,FOXO1
102,RAC1
103,STAT3
104,PIM1
105,NFATC1
110,FIGF
111,CCL2
113,SERPINE1
124,MMP2
127,AGER
130,SELE
133,COL1A1
147,PRKACA,PRKCA
150,PLCD3
167,TGFB1
168,TGFB1
175,AGTR1
177,CYBB
191,AGT
